year,state,girls_wrestling_participants
2009-10,Alabama,0
2009-10,Alaska,138
2009-10,Arizona,189
2009-10,Arkansas,0
2009-10,California,1493
2009-10,Colorado,66
2009-10,Connecticut,74
2009-10,Delaware,10
2009-10,District of Columbia,0
2009-10,Florida,102
2009-10,Georgia,120
2009-10,Hawaii,410
2009-10,Idaho,14
2009-10,Illinois,0
2009-10,Indiana,0
2009-10,Iowa,47
2009-10,Kansas,54
2009-10,Kentucky,160
2009-10,Louisiana,0
2009-10,Maine,96
2009-10,Maryland,73
2009-10,Massachusetts,84
2009-10,Michigan,0
2009-10,Minnesota,0
2009-10,Mississippi,0
2009-10,Missouri,0
2009-10,Montana,9
2009-10,Nebraska,50
2009-10,Nevada,0
2009-10,New Hampshire,3
2009-10,New Jersey,0
2009-10,New Mexico,0
2009-10,New York,0
2009-10,North Carolina,0
2009-10,North Dakota,10
2009-10,Ohio,114
2009-10,Oklahoma,8
2009-10,Oregon,138
2009-10,Pennsylvania,0
2009-10,Rhode Island,10
2009-10,South Carolina,0
2009-10,South Dakota,3
2009-10,Tennessee,0
2009-10,Texas,1706
2009-10,Utah,39
2009-10,Vermont,19
2009-10,Virginia,112
2009-10,Washington,773
2009-10,West Virginia,0
2009-10,Wisconsin,0
2009-10,Wyoming,10
2010-11,Alabama,0
2010-11,Alaska,158
2010-11,Arizona,249
2010-11,Arkansas,0
2010-11,California,1910
2010-11,Colorado,116
2010-11,Connecticut,63
2010-11,Delaware,10
2010-11,District of Columbia,0
2010-11,Florida,97
2010-11,Georgia,120
2010-11,Hawaii,456
2010-11,Idaho,18
2010-11,Illinois,0
2010-11,Indiana,0
2010-11,Iowa,277
2010-11,Kansas,56
2010-11,Kentucky,160
2010-11,Louisiana,0
2010-11,Maine,89
2010-11,Maryland,85
2010-11,Massachusetts,107
2010-11,Michigan,154
2010-11,Minnesota,0
2010-11,Mississippi,0
2010-11,Missouri,0
2010-11,Montana,10
2010-11,Nebraska,64
2010-11,Nevada,0
2010-11,New Hampshire,36
2010-11,New Jersey,38
2010-11,New Mexico,0
2010-11,New York,24
2010-11,North Carolina,0
2010-11,North Dakota,6
2010-11,Ohio,150
2010-11,Oklahoma,0
2010-11,Oregon,126
2010-11,Pennsylvania,0
2010-11,Rhode Island,20
2010-11,South Carolina,0
2010-11,South Dakota,3
2010-11,Tennessee,0
2010-11,Texas,1706
2010-11,Utah,0
2010-11,Vermont,16
2010-11,Virginia,89
2010-11,Washington,922
2010-11,West Virginia,0
2010-11,Wisconsin,0
2010-11,Wyoming,16
2011-12,Alabama,0
2011-12,Alaska,169
2011-12,Arizona,221
2011-12,Arkansas,0
2011-12,California,2008
2011-12,Colorado,152
2011-12,Connecticut,67
2011-12,Delaware,1
2011-12,District of Columbia,0
2011-12,Florida,198
2011-12,Georgia,130
2011-12,Hawaii,456
2011-12,Idaho,18
2011-12,Illinois,0
2011-12,Indiana,0
2011-12,Iowa,72
2011-12,Kansas,95
2011-12,Kentucky,23
2011-12,Louisiana,0
2011-12,Maine,62
2011-12,Maryland,178
2011-12,Massachusetts,126
2011-12,Michigan,143
2011-12,Minnesota,0
2011-12,Mississippi,0
2011-12,Missouri,0
2011-12,Montana,13
2011-12,Nebraska,59
2011-12,Nevada,0
2011-12,New Hampshire,14
2011-12,New Jersey,55
